School Code,School Name,Address,City,State,Zip Code,Country
E00780,"FORTIS INSTITUTE - FORTIS COLLEGE","2140 SOUTH COBB DRIVE",SMYRNA,GA,30080,USA
E00947,"UNITED EDUCATION INSTITUTE - UEI MORROW","1564 SOUTHLAKE PARKWAY",MORROW,GA,30260,USA
E00953,"INTERACTIVE LEARNING SYSTEMS","1078 CITIZENS PARKWAY, SUITE A",MORROW,GA,30260,USA
E00960,"INTERACTIVE COLLEGE OF TECHNOLOGY","2323 BROWNS BRIDGE ROAD",GAINESVILLE,GA,30501,USA
E01034,"DECKER COLLEGE -","3700 DEKALB TECHNOLOGY PARKWAY",ATLANTA,GA,30340,USA
E01094,"LINCOLN COLLEGE OF TECHNOLOGY - MARIETTA","2359 WINDY HILL ROAD",MARIETTA,GA,30067,USA
E01743,"AMERICAN INTERCONTINENTAL UNIVERSITY","6600 PEACHTREE-DUNWOODY",ATLANTA,GA,30328,USA
E01836,"MILLER-MOTTE COLLEGE - COLUMBUS","1800 BOX ROAD",COLUMBUS,GA,31907,USA
E01957,"MILLER-MOTTE COLLEGE - AUGUSTA","621 NORTHWEST FRONTAGE ROAD",AUGUSTA,GA,30907,USA
E02015,"MILLER-MOTTE COLLEGE - MACON","175 TOM HILL SENIOR BOULEVARD",MACON,GA,31210,USA
G01560,"COLUMBIA THEOLOGICAL SEMINARY","701 COLUMBIA DR PO BOX 520",DECATUR,GA,30031,USA
G01568,"INTERDENOMINATIONAL THEOLOGY CENTER","700 MARTIN LUTHER KING DR SW",ATLANTA,GA,30314,USA
G24821,"MOREHOUSE SCHOOL OF MEDICINE","720 WESTVIEW DRIVE SW",ATLANTA,GA,30310,USA
G31733,"ATLANTA'S JOHN MARSHALL LAW SCHOOL","1422 WEST PEACHTREE STREET, N.W.",ATLANTA,GA,30309,USA
1541,"ABRAHAM BALDWIN AGRICULTURAL CLG","2802 MOORE HWY ABAC23",TIFTON,GA,31794,USA
1542,"AGNES SCOTT COLLEGE","141 E COLLEGE AVE",DECATUR,GA,30030,USA
1544,"ALBANY STATE UNIVERSITY","504 COLLEGE DRIVE",ALBANY,GA,31705,USA
1545,"ANDREW COLLEGE","501 COLLEGE STREET",CUTHBERT,GA,39840,USA
1547,"POINT UNIVERSITY","507 WEST 10TH STREET",WEST POINT,GA,31833,USA
1554,"BERRY COLLEGE","PO BOX 495007",MOUNT BERRY,GA,30149,USA
1555,"THOMAS UNIVERSITY","1501 MILLPOND RD",THOMASVILLE,GA,31792,USA
1556,"BRENAU UNIVERSITY","ONE CENTENNIAL CIRCLE",GAINESVILLE,GA,30501,USA
1557,"BREWTON PARKER COLLEGE","201 DAVID-ELIZA FOUNTAIN CIRCLE",MOUNT VERNON,GA,30445,USA
1558,"COLLEGE OF COASTAL GEORGIA","ONE COLLEGE DRIVE",BRUNSWICK,GA,31520,USA
1559,"CLARK ATLANTA UNIVERSITY","223 JAMES P BRAWLEY DR SW",ATLANTA,GA,30314,USA
1561,"COLUMBUS STATE UNIVERSITY","4225 UNIVERSITY AVENUE",COLUMBUS,GA,31907,USA
1563,"EMMANUEL COLLEGE","PO BOX 129",FRANKLIN SPRINGS,GA,30639,USA
1564,"EMORY UNIVERSITY","200 DOWMAN DRIVE SUITE 300",ATLANTA,GA,30322,USA
1566,"FORT VALLEY STATE UNIVERSITY","1005 STATE COLLEGE DRIVE",FORT VALLEY,GA,31030,USA
1569,"GEORGIA INSTITUTE OF TECHNOLOGY","225 NORTH AVE-FINANCIAL AID",ATLANTA,GA,30332,USA
1571,"GEORGIA MILITARY COLLEGE","201 E GREEN ST",MILLEDGEVILLE,GA,31061,USA
1572,"GEORGIA SOUTHERN UNIVERSITY","P.O. BOX 8065",STATESBORO,GA,30460,USA
1573,"GEORGIA SOUTHWESTERN STATE UNIV","800 GSW STATE UNIVERSITY DRIVE",AMERICUS,GA,31709,USA
1574,"GEORGIA STATE UNIVERSITY","33 COURTLAND STREET",ATLANTA,GA,30303,USA
1575,"GORDON COLLEGE","419 COLLEGE DR",BARNESVILLE,GA,30204,USA
